window_start,window_end,slug,label,prob_up,return_1m,return_5m,realized_vol_5m,trade_imbalance_30s,distance_to_barrier_bps,seconds_to_close
2026-05-17T10:25:00+00:00,2026-05-17T10:30:00+00:00,btc-updown-5m-1779013500,Up,0.50961588,0.00021744397790435244,0.0008860451774628242,0.0002765162945461737,0.0,2.1757146400491756,240
2026-05-17T10:30:00+00:00,2026-05-17T10:35:00+00:00,btc-updown-5m-1779013800,Down,0.49606511,-0.0001606552594213273,5.5942059827396307e-05,0.00034582399100163263,0.0,-1.0740649996610063,240
2026-05-17T10:35:00+00:00,2026-05-17T10:40:00+00:00,btc-updown-5m-1779014100,Down,0.50811958,0.0002518988661748267,-0.00018476412120327357,0.00029902885756706793,0.0,2.5202637748611423,240
2026-05-17T10:40:00+00:00,2026-05-17T10:45:00+00:00,btc-updown-5m-1779014400,Up,0.49156636,-0.00018999067898073374,-0.0006874495468873754,0.00042969805918402276,0.0,-1.8999067898073374,240
2026-05-17T10:45:00+00:00,2026-05-17T10:50:00+00:00,btc-updown-5m-1779014700,Down,0.50032115,-3.0084699903176748e-05,0.00041869659482207666,0.0002073137688429841,0.0,-0.17082212737995484,240
2026-05-17T10:50:00+00:00,2026-05-17T10:55:00+00:00,btc-updown-5m-1779015000,Down,0.49339418,-0.0001632089116145874,-0.0003638318505337912,0.00017577897541048906,0.0,-1.632089116145874,240
2026-05-17T10:55:00+00:00,2026-05-17T11:00:00+00:00,btc-updown-5m-1779015300,Up,0.50706033,0.0002019026036126359,7.243577669324708e-05,0.0002291344955272836,0.0,2.019026036126359,240
2026-05-17T11:00:00+00:00,2026-05-17T11:05:00+00:00,btc-updown-5m-1779015600,Down,0.4881891,-0.0003266550522647016,-0.00018145888094567297,0.0002498108716977221,0.0,-3.2652759387663544,240
2026-05-17T11:05:00+00:00,2026-05-17T11:10:00+00:00,btc-updown-5m-1779015900,Up,0.49385552,-0.0001430160698521199,-0.00043555484585711124,0.0003147160548377799,0.0,-1.431436305996403,240
2026-05-17T11:10:00+00:00,2026-05-17T11:15:00+00:00,btc-updown-5m-1779016200,Down,0.49735912,-0.00010623092179362637,0.0004358722338031473,0.0001647918522222117,0.0,-1.0635843634732023,240
2026-05-17T11:15:00+00:00,2026-05-17T11:20:00+00:00,btc-updown-5m-1779016500,Down,0.4880416,-0.0002586388701797393,-0.0011842243712993916,0.0002157598105424123,0.0,-2.5851124332421094,240
2026-05-17T11:20:00+00:00,2026-05-17T11:25:00+00:00,btc-updown-5m-1779016800,Up,0.49650355,-5.0317517583997606e-05,-0.00017991927255911477,0.00018541696165840803,0.0,-0.9169158068245142,240
2026-05-17T11:25:00+00:00,2026-05-17T11:30:00+00:00,btc-updown-5m-1779017100,Down,0.50712542,0.00016340461689545727,0.0006021802885638472,4.535634153866184e-05,0.0,1.6340461689545727,240
2026-05-17T11:30:00+00:00,2026-05-17T11:35:00+00:00,btc-updown-5m-1779017400,Up,0.49879734,-2.4261694296923153e-06,-0.00042631426049288823,0.0001315745579071814,0.0,-0.025538622313581172,240
2026-05-17T11:35:00+00:00,2026-05-17T11:40:00+00:00,btc-updown-5m-1779017700,Down,0.48933255,-0.0003268122318889066,0.0003175735795126755,0.0005012694916609056,0.0,-3.2681223188890662,240
