slug,label,decision,forecast_prob_up,entry_price,fee_per_share,shares,pnl_usd,edge,fill_delay_seconds,trade_count
btc-updown-5m-1779085200,DOWN,DOWN,0.21186344848647815,0.74,0.013468000000000003,13.513513513513514,3.331513513513514,0.03466855151352192,0,1
btc-updown-5m-1779085500,DOWN,DOWN,0.16970997226219417,0.7199999277993496,0.014112002223779669,13.888890281648488,3.6928902311080325,0.0961780977146765,1,6
btc-updown-5m-1779087600,UP,DOWN,0.7507493225760364,0.14803266400617718,0.008828329607538802,67.55265851044007,-10.596377135195675,0.09238968381024758,1,5
btc-updown-5m-1779089100,UP,DOWN,0.734113610584595,0.15911962529443568,0.009366039909841585,62.845799074098835,-10.588616262293895,0.09740072421112772,1,4
btc-updown-5m-1779089400,UP,UP,0.2992416897237674,0.2460770184330105,0.012986618360249122,40.637683533711616,30.109937446614722,0.040178052930507795,0,5
btc-updown-5m-1779090300,UP,DOWN,0.7999504497739606,0.16,0.009408000000000001,62.5,-10.588000000000001,0.030641550226039427,0,1
btc-updown-5m-1779090900,UP,DOWN,0.32553805469822994,0.5799999907161622,0.01705200010397898,17.24137958632099,-10.294000006498687,0.07740995448162893,0,2
btc-updown-5m-1779092100,DOWN,DOWN,0.3116563974864578,0.6135946706033003,0.01659673755673694,16.29740361037975,6.02691987980206,0.05815219435350496,0,2
btc-updown-5m-1779095400,DOWN,UP,0.34511354555137436,0.2812155402697316,0.01414933521263742,35.55991247997307,-10.503149121811187,0.049748670069005324,1,4
btc-updown-5m-1779100500,UP,UP,0.3439941124812076,0.19999999999999998,0.011200000000000002,50.00000000000001,39.440000000000005,0.1327941124812076,0,10
btc-updown-5m-1779101100,UP,DOWN,0.7276213868698195,0.1668487992963342,0.009730719422879406,59.934503827260734,-10.583205840492566,0.09579909441096691,1,6
btc-updown-5m-1779104100,UP,DOWN,0.29326317734492163,0.6199999647450899,0.016492000592282403,16.12903317520583,-10.266000024678437,0.07024485731770602,0,3
btc-updown-5m-1779104400,UP,UP,0.8468733528849233,0.7199999988220859,0.014112000036279757,13.888888911610998,3.692888910786458,0.11276135402655764,1,1
btc-updown-5m-1779106800,UP,DOWN,0.2743517628065747,0.645693950177936,0.01601412910170844,15.48721340388007,-10.248014234875445,0.06394015791378091,0,3
btc-updown-5m-1779109200,DOWN,DOWN,0.19408468142349378,0.75,0.013125000000000001,13.333333333333334,3.158333333333334,0.042790318576506226,0,4
btc-updown-5m-1779110700,DOWN,DOWN,0.07199093180136747,0.8099999844110737,0.010773000676559386,12.345679249945537,2.2126792390332883,0.10723608311099943,1,3
